Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1597336440,-7.0,2020-08-13 09:34:00,8.76,8.76,8.76,8.76,800
1597336980,-7.0,2020-08-13 09:43:00,8.7502,8.7502,8.7501,8.7501,318
1597341420,-7.0,2020-08-13 10:57:00,8.71,8.71,8.71,8.71,400
1597345320,-7.0,2020-08-13 12:02:00,8.68,8.68,8.68,8.68,3020
1597415760,-7.0,2020-08-14 07:36:00,8.81,8.81,8.81,8.81,500
1597415820,-7.0,2020-08-14 07:37:00,8.79,8.79,8.79,8.79,100
1597416180,-7.0,2020-08-14 07:43:00,8.79,8.79,8.77,8.77,700
1597416420,-7.0,2020-08-14 07:47:00,8.81,8.81,8.81,8.81,1063
1597416540,-7.0,2020-08-14 07:49:00,8.81,8.81,8.78,8.78,500
1597416720,-7.0,2020-08-14 07:52:00,8.79,8.79,8.79,8.79,400
1597417080,-7.0,2020-08-14 07:58:00,8.79,8.79,8.78,8.78,500
1597417440,-7.0,2020-08-14 08:04:00,8.79,8.79,8.79,8.79,100
1597417860,-7.0,2020-08-14 08:11:00,8.79,8.79,8.77,8.77,400
1597418220,-7.0,2020-08-14 08:17:00,8.8,8.8,8.8,8.8,400
1597418760,-7.0,2020-08-14 08:26:00,8.81,8.81,8.81,8.81,400
1597418820,-7.0,2020-08-14 08:27:00,8.82,8.82,8.79,8.82,1388
1597420200,-7.0,2020-08-14 08:50:00,8.82,8.85,8.82,8.83,5400
1597420320,-7.0,2020-08-14 08:52:00,8.86,8.86,8.86,8.86,600
1597420920,-7.0,2020-08-14 09:02:00,8.84,8.84,8.84,8.84,2400
1597421820,-7.0,2020-08-14 09:17:00,8.84,8.84,8.84,8.84,144
1597422240,-7.0,2020-08-14 09:24:00,8.82,8.82,8.82,8.82,166
1597422540,-7.0,2020-08-14 09:29:00,8.82,8.82,8.82,8.82,218
1597423320,-7.0,2020-08-14 09:42:00,8.79,8.79,8.79,8.79,156
1597423560,-7.0,2020-08-14 09:46:00,8.77,8.77,8.77,8.77,162
1597424220,-7.0,2020-08-14 09:57:00,8.77,8.77,8.77,8.77,144
1597424820,-7.0,2020-08-14 10:07:00,8.77,8.77,8.77,8.77,182
1597425840,-7.0,2020-08-14 10:24:00,8.79,8.79,8.76,8.76,615
1597426020,-7.0,2020-08-14 10:27:00,8.76,8.76,8.76,8.76,100
1597426260,-7.0,2020-08-14 10:31:00,8.76,8.76,8.76,8.76,100
